latitude,longitude,time,GPI
38.5,112.5,13602255.0,0.0
38.5,113.5,13602255.0,0.0
38.5,114.5,13602255.0,0.0
38.5,115.5,13602255.0,0.0
38.5,116.5,13602255.0,0.0
38.5,117.5,13602255.0,0.0
38.5,118.5,13602255.0,0.0
38.5,119.5,13602255.0,0.0
38.5,120.5,13602255.0,0.0
37.5,30.5,13602255.0,0.0
37.5,31.5,13602255.0,0.0062048794
37.5,32.5,13602255.0,0.6966772
37.5,33.5,13602255.0,1.5785296
37.5,34.5,13602255.0,1.6046566
37.5,35.5,13602255.0,1.5575291
37.5,36.5,13602255.0,1.9941678
37.5,37.5,13602255.0,1.9421309
37.5,38.5,13602255.0,0.5374514
37.5,39.5,13602255.0,0.039962377
37.5,40.5,13602255.0,0.0
37.5,41.5,13602255.0,0.0
37.5,42.5,13602255.0,0.0
37.5,43.5,13602255.0,0.0
37.5,44.5,13602255.0,0.0
37.5,45.5,13602255.0,0.0
37.5,46.5,13602255.0,0.0
37.5,47.5,13602255.0,0.0
37.5,48.5,13602255.0,0.0
37.5,49.5,13602255.0,0.0
37.5,50.5,13602255.0,0.0
37.5,51.5,13602255.0,0.0
37.5,52.5,13602255.0,0.0
37.5,53.5,13602255.0,0.0
37.5,54.5,13602255.0,0.0
37.5,55.5,13602255.0,0.0
37.5,56.5,13602255.0,0.0
37.5,57.5,13602255.0,0.0
37.5,58.5,13602255.0,0.0
37.5,59.5,13602255.0,0.0
37.5,60.5,13602255.0,0.0
37.5,61.5,13602255.0,0.0
37.5,62.5,13602255.0,0.0
37.5,63.5,13602255.0,0.0
37.5,64.5,13602255.0,0.0
37.5,65.5,13602255.0,0.0
37.5,66.5,13602255.0,0.0
37.5,67.5,13602255.0,0.0
37.5,68.5,13602255.0,0.0
37.5,69.5,13602255.0,0.0
37.5,70.5,13602255.0,0.0
37.5,71.5,13602255.0,0.0
37.5,72.5,13602255.0,0.0
37.5,73.5,13602255.0,0.0
37.5,74.5,13602255.0,0.0
37.5,75.5,13602255.0,0.0
37.5,76.5,13602255.0,0.0
37.5,77.5,13602255.0,0.0
37.5,78.5,13602255.0,0.0
37.5,79.5,13602255.0,0.0
37.5,80.5,13602255.0,0.03770571
37.5,81.5,13602255.0,0.0197015
37.5,82.5,13602255.0,0.0
37.5,83.5,13602255.0,0.0
37.5,84.5,13602255.0,0.0
37.5,85.5,13602255.0,0.0
37.5,86.5,13602255.0,0.0
37.5,87.5,13602255.0,0.0
37.5,88.5,13602255.0,0.0
37.5,89.5,13602255.0,0.0
37.5,90.5,13602255.0,0.0
37.5,91.5,13602255.0,0.0
37.5,92.5,13602255.0,0.0
37.5,93.5,13602255.0,0.0
37.5,94.5,13602255.0,0.0
37.5,95.5,13602255.0,0.0
37.5,96.5,13602255.0,0.0
37.5,97.5,13602255.0,0.0
37.5,98.5,13602255.0,0.0
37.5,99.5,13602255.0,0.0
37.5,100.5,13602255.0,0.0038541188
37.5,101.5,13602255.0,0.034114268
37.5,102.5,13602255.0,0.15844338
37.5,103.5,13602255.0,0.8231847
37.5,104.5,13602255.0,0.81319535
37.5,105.5,13602255.0,0.20283826
37.5,106.5,13602255.0,0.0024077175
37.5,107.5,13602255.0,0.0043973164
37.5,108.5,13602255.0,0.001304698
37.5,109.5,13602255.0,0.0
37.5,110.5,13602255.0,0.0
37.5,111.5,13602255.0,0.0
37.5,112.5,13602255.0,0.0
37.5,113.5,13602255.0,0.0
37.5,114.5,13602255.0,0.0
37.5,115.5,13602255.0,0.0
37.5,116.5,13602255.0,0.0
37.5,117.5,13602255.0,0.0
