time,YEAR,MO,DY,HR,T2M,WS10M,RH2M,PRECTOTCORR,LAT,LON
2022-10-25 06:00:00,2022,10,25,6,14.59,2.25,81.82,0.0,12.98,77.57
2022-10-25 07:00:00,2022,10,25,7,18.16,2.56,70.19,0.0,12.98,77.57
2022-10-25 08:00:00,2022,10,25,8,20.52,2.63,63.41,0.0,12.98,77.57
2022-10-25 09:00:00,2022,10,25,9,23.02,2.94,54.65,0.0,12.98,77.57
2022-10-25 10:00:00,2022,10,25,10,24.33,2.87,52.16,0.0,12.98,77.57
2022-10-25 11:00:00,2022,10,25,11,25.27,2.95,50.98,0.0,12.98,77.57
2022-10-25 12:00:00,2022,10,25,12,25.86,3.03,50.53,0.0,12.98,77.57
2022-10-25 13:00:00,2022,10,25,13,26.09,3.06,50.5,0.0,12.98,77.57
2022-10-25 14:00:00,2022,10,25,14,25.87,3.07,51.54,0.0,12.98,77.57
2022-10-25 15:00:00,2022,10,25,15,25.32,2.91,54.24,0.0,12.98,77.57
2022-10-25 16:00:00,2022,10,25,16,24.05,2.56,60.43,0.0,12.98,77.57
2022-10-25 17:00:00,2022,10,25,17,20.66,2.37,77.95,0.0,12.98,77.57
2022-10-25 18:00:00,2022,10,25,18,18.64,2.64,81.34,0.0,12.98,77.57
2022-10-25 19:00:00,2022,10,25,19,17.72,2.81,83.54,0.0,12.98,77.57
2022-10-25 20:00:00,2022,10,25,20,16.95,2.93,85.21,0.0,12.98,77.57
2022-10-25 21:00:00,2022,10,25,21,16.32,2.99,86.35,0.0,12.98,77.57
2022-10-25 22:00:00,2022,10,25,22,15.79,3.03,87.09,0.0,12.98,77.57
2022-10-25 23:00:00,2022,10,25,23,15.34,3.02,87.5,0.0,12.98,77.57
2022-10-26 00:00:00,2022,10,26,0,14.99,2.95,87.3,0.0,12.98,77.57
2022-10-26 01:00:00,2022,10,26,1,14.74,2.88,86.59,0.0,12.98,77.57
2022-10-26 02:00:00,2022,10,26,2,14.51,2.8,85.91,0.0,12.98,77.57
2022-10-26 03:00:00,2022,10,26,3,14.33,2.69,84.87,0.0,12.98,77.57
2022-10-26 04:00:00,2022,10,26,4,14.23,2.55,83.48,0.0,12.98,77.57
2022-10-26 05:00:00,2022,10,26,5,14.28,2.35,81.39,0.0,12.98,77.57
2022-10-26 06:00:00,2022,10,26,6,15.43,2.0,82.3,0.0,12.98,77.57
2022-10-26 07:00:00,2022,10,26,7,19.1,1.88,71.91,0.0,12.98,77.57
2022-10-26 08:00:00,2022,10,26,8,21.49,1.67,61.95,0.0,12.98,77.57
